Unnamed: 0,content,score,appVersion,content_process,result,sentiment,proba,inferred_topic,inferred_probability
708,"Kenapa gak bisa masuk, muncul tulisan perangkat diroot, padahal mau transfer saldo ya allah",3,1.3.9,gak masuk muncul tulis perangkat diroot transfer saldo ya allah,"[{'label': 'neutral', 'score': 0.6136779189109802}]",neutral,0.6136779189109802,Opinion on Banking App,0.42747068
709,Good,5,1.3.9,good,"[{'label': 'positive', 'score': 0.9990602135658264}]",positive,0.9990602135658264,Opinion on Banking App,0.5999354
710,Aplikasi goblog,1,,aplikasi goblog,"[{'label': 'positive', 'score': 0.9689676761627197}]",positive,0.9689676761627196,User Experience,0.2
711,Kenapa setelah di update jadi ga bisa di buka ..katanya hp di jailbreak hp saya bersih dari pertama beli ga pernah di apa apain .sungguh sangat kecewa,1,,update ga buka hp jailbreak hp bersih beli ga apain sungguh kecewa,"[{'label': 'negative', 'score': 0.9988911747932434}]",negative,0.9988911747932434,Mixed Feedback and Technical Issues,0.49801382
712,Mntap,5,,mntap,"[{'label': 'negative', 'score': 0.8630099892616272}]",negative,0.8630099892616272,Mixed Feedback and Technical Issues,0.59997886
713,"Aplikasinya KURANG OKE dibanding Bank kompetitor. Terlalu sering update sistem tp nasabah yg dibuat ribet, gak bisa klik update sistem. Hrs uninstal aplikasi, trus re-download aplikasi dbankPro. Artinya?? Stlh aplikasi download , hrs login lagi dari awal, yg mana proses itu smua takes time.. Jadi kalo ada transaksi urgent, saya mending pindah ke aplikasi bank sebelah yg jelas on 24jam sehari-365 hari setahun. Udah berkali2 lapor ke Customer Service bank, tp blm ada improve. Capek ahhhhh,,",1,,aplikasi oke banding bank kompetitor update sistem tp nasabah yg ribet gak klik update sistem hrs uninstal aplikasi trus re download aplikasi dbankpro stlh aplikasi download hrs login yg proses smua takes time kalo transaksi urgent mending pindah aplikasi bank belah yg on jam hari tahun udah kali lapor customer service bank tp blm improve capek ahhhhh,"[{'label': 'negative', 'score': 0.9987024068832397}]",negative,0.9987024068832396,App Features,0.68852305
714,Top daaahh,5,1.3.9,top daaahh,"[{'label': 'positive', 'score': 0.9964699745178223}]",positive,0.9964699745178224,Questions and Engagement,0.5994394
715,Lemotnya minta ampun,1,1.3.9,lot ampun,"[{'label': 'negative', 'score': 0.9992882609367371}]",negative,0.9992882609367372,Mixed Feedback and Technical Issues,0.72586757
716,Good,5,1.3.4,good,"[{'label': 'positive', 'score': 0.9990602135658264}]",positive,0.9990602135658264,Opinion on Banking App,0.5999354
717,"Hp saya tidak di root. Kenapa oleh aplikasi ini dianggap di root. BCA, Bni, BSI, semua bs digunakan di hp saya.. Update.. Alhamdulillah sdh bs digunakan di hp saya. Tdk dianggap root lagi.. 👍",5,1.3.9,hp root aplikasi anggap root bca bni bsi bs hp update alhamdulillah sdh bs hp tdk anggap root,"[{'label': 'neutral', 'score': 0.9869703054428101}]",neutral,0.98697030544281,Mixed Feedback and Technical Issues,0.39055136
718,"diperbaharui malah gak bisa dibuka, keterangan hp diroot, padahal hp saya masih original",1,,baharu gak buka terang hp diroot hp original,"[{'label': 'negative', 'score': 0.8857930302619934}]",negative,0.8857930302619934,Questions and Engagement,0.6425932
719,"woy kartuunya mana ko belum Di kirim juga sampe sekarang udah lama nunggu,",1,1.3.7,woy kartuunya ko kirim sampe udah nunggu,"[{'label': 'negative', 'score': 0.9991004467010498}]",negative,0.9991004467010498,User Experience,0.5258811
720,"Kenapa jadi aneh begini yah, setiap mau buka apk d-bank pro selalu log out ..padahal suka update jika ada perintah update...",1,1.3.9,aneh yah buka apk bank pro log out suka update perintah update,"[{'label': 'negative', 'score': 0.9283058643341064}]",negative,0.9283058643341064,Mixed Feedback and Technical Issues,0.49514717
721,Wah ini gimana sih orang mau login verifikasi lewat SMS kol gagal terus kacau. Lama-lama pembaruan makin ngaco,1,1.1.3,gimana sih orang login verifikasi sms kol gagal kacau baru ngaco,"[{'label': 'negative', 'score': 0.9991657733917236}]",negative,0.9991657733917236,Mixed Feedback and Technical Issues,0.49118176
722,Abis d perbarui mlah g bsa d buka... Keternganya hp udh d root...pdhal hp g pernh d root 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️,1,1.3.9,abis baru mlah bsa buka keternganya hp udh root pdhal hp pernh root,"[{'label': 'neutral', 'score': 0.9984220266342163}]",neutral,0.9984220266342164,Mixed Feedback and Technical Issues,0.47844362
723,Disuruh update malah jd ga bs dibuka... Parah,1,1.3.9,suruh update jd ga bs buka parah,"[{'label': 'negative', 'score': 0.9915026426315308}]",negative,0.9915026426315308,Mixed Feedback and Technical Issues,0.35610706
724,ui dan ux nya ga intuiftif membuat bingung user,1,1.3.1,ui ux nya ga intuiftif bingung user,"[{'label': 'negative', 'score': 0.9987044334411621}]",negative,0.998704433441162,User Experience,0.6133076
725,"Asuransi prima medika, tidak dapat dicairkan. Kenapa tidak ada kejelasan dari awal. Kasihan orang tua saya ikut Asuransi bulanan 2 jt dan uang hangus begitu saja. Sudah 5 tahun berjalan padahal. Sangat merugikan sekali",1,1.3.9,asuransi prima medika cair jelas kasihan orang tua asuransi bulan jt uang hangus jalan rugi,"[{'label': 'negative', 'score': 0.9990981817245483}]",negative,0.9990981817245485,Questions and Engagement,0.60282236
726,Kenapa ga bisa masuk,2,1.3.9,ga masuk,"[{'label': 'negative', 'score': 0.8348920345306396}]",negative,0.8348920345306396,Questions and Engagement,0.72922784
727,Kenapa yh setiap saya nyisain uang 150rb atau dapat trasfer dari kawan sukua kesedot dana nya di angkat di atas??? Khasus sudah 3x begitu terus?,2,1.3.9,yh nyisain uang rb trasfer kawan sukua sedot dana nya angkat khasus,"[{'label': 'neutral', 'score': 0.63232421875}]",neutral,0.63232421875,Mixed Feedback and Technical Issues,0.58755475
728,Ini setelah di update kok malah jadi gak bisa digunakakan... Muncul warning danamon tidak bisa digunakan pada perangkat yang sudah di root...,1,1.3.9,update gak digunakakan muncul warning danamon perangkat root,"[{'label': 'negative', 'score': 0.7574887275695801}]",negative,0.7574887275695801,Mixed Feedback and Technical Issues,0.8841176
729,"Min kenapa aplikas d bank pro tidak bisa di buka, konfirmasi nya aplikasi ini tidak bisa digunakan pada perangkat yg sudah di jailbreak atau root maksudnya apa yah?",3,1.3.9,min aplikas bank pro buka konfirmasi nya aplikasi perangkat yg jailbreak root maksud yah,"[{'label': 'negative', 'score': 0.704391360282898}]",negative,0.704391360282898,Questions and Engagement,0.49581468
730,"Kak knp setelah diperbarui mlhn susah dibuka, mlhn ada tulisan d bank pro tdk bs dibuka dlm aplikasi djail breek / root pdhl pakai m bangking mandiri aman2 saja dijhp saya. Tolong solusinya ya",4,1.3.9,kak knp baru mlhn susah buka mlhn tulis bank pro tdk bs buka dlm aplikasi djail breek root pdhl pakai bangking mandiri aman dijhp tolong solusi ya,"[{'label': 'neutral', 'score': 0.9264107942581177}]",neutral,0.9264107942581176,Questions and Engagement,0.53999263
731,"Kenapa kok hbs di update malah ga bisa di pake,masuk ke menu aja ga bisa,katanya apk ini tdk bisa di gunakan di hp yg sudah di jailbreak/root,padahl hp ku ga pernah di root",1,1.3.9,hbs update ga pake masuk menu aja ga apk tdk hp yg jailbreak root padahl hp ku ga root,"[{'label': 'negative', 'score': 0.9793885350227356}]",negative,0.9793885350227356,Opinion on Banking App,0.40099853
732,Diupdate kok malah gak bisa dibuka karna keterangannya: aplikasi tidak dapat digunakan pd perangkat yang sudah di root. Perasaan sy gak pernah nge root HP saya.... 😩,1,1.3.9,diupdate gak buka karna terang aplikasi pd perangkat root asa sy gak nge root hp,"[{'label': 'negative', 'score': 0.8965047001838684}]",negative,0.8965047001838684,Mixed Feedback and Technical Issues,0.32836983
733,Tiba2 error dan login masuk pin mlh di blokir,1,1.3.9,error login masuk pin mlh blokir,"[{'label': 'neutral', 'score': 0.997569739818573}]",neutral,0.997569739818573,Questions and Engagement,0.72352713
734,"sdh dicoba sendiri kah sebelum launching aplikasi ini, login, verifikasi SMS mondar mandir, sangat membingungkan",1,1.3.9,sdh coba kah launching aplikasi login verifikasi sms mondar mandir bingung,"[{'label': 'negative', 'score': 0.9985106587409973}]",negative,0.9985106587409972,Mixed Feedback and Technical Issues,0.44254562
735,👍,5,1.3.9,,"[{'label': 'neutral', 'score': 0.8039132356643677}]",neutral,0.8039132356643677,User Experience,0.2
736,"Lama buka, terlalu sering update",1,1.3.8,buka update,"[{'label': 'negative', 'score': 0.9959702491760254}]",negative,0.9959702491760254,Mixed Feedback and Technical Issues,0.7266734
737,Kenapa jadi tidak bisa d buka,1,1.3.8,buka,"[{'label': 'negative', 'score': 0.692125141620636}]",negative,0.692125141620636,Questions and Engagement,0.5914434
738,Sangat membantu,4,1.3.8,bantu,"[{'label': 'positive', 'score': 0.9959172606468201}]",positive,0.99591726064682,User Experience,0.5996342
739,Bagus ....Aplikasi yang selalu membantu dalam situasi dan kondisi benar-benar posisi sulit... Terima kasih atas pelayanannya .,5,,bagus aplikasi bantu situasi kondisi posisi sulit terima kasih layan,"[{'label': 'positive', 'score': 0.9938269257545471}]",positive,0.9938269257545472,User Experience,0.4295289
740,Jelek di update malah nge blok,1,,jelek update nge blok,"[{'label': 'negative', 'score': 0.9992780089378357}]",negative,0.9992780089378356,Questions and Engagement,0.8375545
741,"Kode email verifikasi ga masuk"" , aplikasi payah ini semacam produk gagal produk belum jadi sudah di rilis, registrasi susah verifikasi susah, semua susah, tidak rekomen untuk apk macem ni",1,,kode email verifikasi ga masuk aplikasi payah produk gagal produk rilis registrasi susah verifikasi susah susah rekomen apk macem ni,"[{'label': 'negative', 'score': 0.9991477727890015}]",negative,0.9991477727890016,App Features,0.7472002
742,"Bank lain bisa mengirim pesan utk verifikasi melalui pesan SMS ... İni knapa Danamon selalu gagal, padahal pengaturannya sdah bener... Sim nya sudah sim 1 ,no hp nya jg sama ... Bete banget bad banget",1,1.3.9,bank kirim pesan utk verifikasi pesan sms ni knapa danamon gagal atur sdah bener sim nya sim no hp nya jg bete banget bad banget,"[{'label': 'negative', 'score': 0.9987377524375916}]",negative,0.9987377524375916,Questions and Engagement,0.46019253
743,Kok keseringan error siih ??,1,,sering error siih,"[{'label': 'negative', 'score': 0.9989989399909973}]",negative,0.9989989399909972,Mixed Feedback and Technical Issues,0.72713846
744,"D bank pro makin parah, sangat tidak membantu lagi, uninstal aja, kecewa banget",1,,bank pro parah bantu uninstal aja kecewa banget,"[{'label': 'negative', 'score': 0.9995957016944885}]",negative,0.9995957016944884,Opinion on Banking App,0.32661453
745,Ini d bank sesudah saya update kok gak bisa dibuka ya tulisannya aplikasi tidak bisa dibuka di hp yang diroot padahal hp saya nggak saya root ini gimana setelah di update malah gak bisa dibuka,1,1.3.9,bank update gak buka ya tulis aplikasi buka hp diroot hp nggak root gimana update gak buka,"[{'label': 'negative', 'score': 0.9652813673019409}]",negative,0.9652813673019408,Questions and Engagement,0.8249074
746,"Baru beberapa hr yg lalu diubdate,eh pas buka lagi suruh ubdate lg",2,1.3.8,hr yg diubdate eh pas buka suruh ubdate lg,"[{'label': 'neutral', 'score': 0.9712502956390381}]",neutral,0.971250295639038,Questions and Engagement,0.5857815
747,Hbis di updet mlh suruh ngisi pasword lupa jd susah ...mohon di permudah kak,2,1.3.9,hbis updet mlh suruh ngisi pasword lupa jd susah mohon mudah kak,"[{'label': 'neutral', 'score': 0.8863558173179626}]",neutral,0.8863558173179626,User Experience,0.7745652
748,baik,5,1.3.7,,"[{'label': 'positive', 'score': 0.9978936314582825}]",positive,0.9978936314582824,User Experience,0.2
749,Hallo danamon tidak bisa bantu bagus tidak pakai CS hallo danamon,1,,hallo danamon bantu bagus pakai cs hallo danamon,"[{'label': 'negative', 'score': 0.9982669353485107}]",negative,0.9982669353485109,User Experience,0.4796545
750,Pelayanan customer service memuaskan,5,1.3.9,layan customer service muas,"[{'label': 'positive', 'score': 0.998996913433075}]",positive,0.998996913433075,App Features,0.4944563
751,"Makin ke sini makin ribet z,mo top up e walet ga bisa pke transaksi yg kita kehendaki,malah menunya di kasih nominal pilihan..ga semua mesti ikut nominal yg ada..tolonglah kembalikan nominal yg di inginkan ataw pake pilihan nominal lain,jangan yg di tampilin yg luncurkan dari bank..",1,1.3.8,ribet mo top up walet ga pke transaksi yg hendak menu kasih nominal pilih ga mesti nominal yg tolong kembali nominal yg ataw pake pilih nominal yg tampilin yg luncur bank,"[{'label': 'negative', 'score': 0.9789295792579651}]",negative,0.9789295792579652,App Features,0.5518511
752,Buruk setiap bulan harus update dan instal ulang,1,1.3.9,buruk update instal ulang,"[{'label': 'negative', 'score': 0.6415645480155945}]",negative,0.6415645480155945,User Experience,0.62292635
753,Terlalu sering update nih aplikasi.. Ga di update ga bisa buka.. Aplikasi lain ga sesering ini juga updatenya..,3,1.3.8,update nih aplikasi ga update ga buka aplikasi ga sering updatenya,"[{'label': 'negative', 'score': 0.9942288398742676}]",negative,0.9942288398742676,Mixed Feedback and Technical Issues,0.47073677
754,"Setelah diperbarui kok malah gak bisa dibuka,",1,1.3.9,baru gak buka,"[{'label': 'negative', 'score': 0.8267414569854736}]",negative,0.8267414569854736,Questions and Engagement,0.7942396
755,Di perbaharui malah gk bisa di buka.. Gmna donk 😭,2,1.3.9,baharu gk buka gmna donk,"[{'label': 'negative', 'score': 0.9467108845710754}]",negative,0.9467108845710754,App Features,0.38487223
756,Padahal gadget saya ga saya root tp ga bisa buka,1,1.3.9,gadget ga root tp ga buka,"[{'label': 'negative', 'score': 0.7574772834777832}]",negative,0.7574772834777832,Questions and Engagement,0.8638069
757,"Setelah update malah tdk bisa dibuka, keterangannya : 'Aplikasi tidak dapat dijalankan karena telah di root'",2,1.3.9,update tdk buka terang aplikasi jalan root,"[{'label': 'neutral', 'score': 0.7114868760108948}]",neutral,0.7114868760108948,Mixed Feedback and Technical Issues,0.8828697
758,"Updet slalu,,,tiap kali buka aplikasi,,versi baru.🤦🏼",1,1.3.9,updet slalu kali buka aplikasi versi,"[{'label': 'neutral', 'score': 0.989403247833252}]",neutral,0.989403247833252,Mixed Feedback and Technical Issues,0.502213
759,Hampir tiap bulan tiap mau buka selalu perbaharui terus,2,1.3.9,buka baharu,"[{'label': 'neutral', 'score': 0.649631917476654}]",neutral,0.649631917476654,Questions and Engagement,0.72987175
760,Ok,5,1.3.8,ok,"[{'label': 'negative', 'score': 0.998392641544342}]",negative,0.998392641544342,App Features,0.5999488
761,Ko semenjak update ngga bisa topup ewalet pake dana sih,2,1.3.9,ko semenjak update ngga topup ewalet pake dana sih,"[{'label': 'negative', 'score': 0.9959273934364319}]",negative,0.995927393436432,Questions and Engagement,0.6348006
762,Kk Ko Aku Nga Bisa Masuk Ke Aplikasi Nya Padal Aku Udah Kirim SMS Mulu tpi nga bisa jga.itu apa nya ya kk.mohon di bantu kk,4,1.3.9,kk ko nga masuk aplikasi nya padal udah kirim sms mulu tpi nga jga nya ya kk mohon bantu kk,"[{'label': 'negative', 'score': 0.7489388585090637}]",negative,0.7489388585090637,Opinion on Banking App,0.375322
763,Setelah saya perbarui 12 april 23 saya tidak bisa login sama sekali...ada peringatan bahwa hp saya crack atau root...padahal.saya tidak pernah utak atik hp...mohon segera diperbarui,1,1.3.9,baru april login ingat hp crack root utak atik hp mohon baru,"[{'label': 'neutral', 'score': 0.9960014224052429}]",neutral,0.9960014224052428,App Features,0.7472982
764,"Tolong dong diperbaiki, knp stelah di update jd ga bs dibuka app nya nih",1,1.3.9,tolong baik knp stelah update jd ga bs buka app nya nih,"[{'label': 'neutral', 'score': 0.8151682019233704}]",neutral,0.8151682019233704,Opinion on Banking App,0.37017694
765,Tidak bisa membuka aplikasi,1,,buka aplikasi,"[{'label': 'negative', 'score': 0.7923926711082458}]",negative,0.7923926711082458,Questions and Engagement,0.5915756
766,Tolong untuk proses vermuk segera di perbaiki!!,4,,tolong proses vermuk baik,"[{'label': 'neutral', 'score': 0.9988958835601807}]",neutral,0.9988958835601808,Opinion on Banking App,0.4895671
767,Di upgrade malah gak bisa di buka.,1,1.3.9,upgrade gak buka,"[{'label': 'negative', 'score': 0.9776887893676758}]",negative,0.9776887893676758,Questions and Engagement,0.79608864
768,"Ga usah keseringan update kalo tiap kali update jadi ga bisa login lagi, harus tlpn ke CS dulu tp CSnya ga bisa bebas pulsa",1,,ga sering update kalo kali update ga login tlpn cs tp csnya ga bebas pulsa,"[{'label': 'neutral', 'score': 0.731802761554718}]",neutral,0.731802761554718,Mixed Feedback and Technical Issues,0.39828274
769,Om,4,1.3.8,om,"[{'label': 'negative', 'score': 0.9980008006095886}]",negative,0.9980008006095886,User Experience,0.2
770,Aplikasi koocak gabantu malah abisin pulsaq,1,,aplikasi koocak gabantu abisin pulsaq,"[{'label': 'negative', 'score': 0.9992396831512451}]",negative,0.9992396831512452,User Experience,0.2
771,Knapa jadi gak bisa di buka setelah di upgrade ?,1,1.3.9,knapa gak buka upgrade,"[{'label': 'neutral', 'score': 0.951297402381897}]",neutral,0.951297402381897,Mixed Feedback and Technical Issues,0.83696264
772,Update,5,1.3.9,update,"[{'label': 'positive', 'score': 0.7287632822990417}]",positive,0.7287632822990417,Mixed Feedback and Technical Issues,0.59680367
773,"Top up emoney, saldo sdh terpotong tapi ga bisa update saldo, cek di history transaksi berhasil, tapi di kartu ga bertambah. Udah di tap lagi untuk update saldo tapi malah muncul tulisan ""pembacaan kartu gagal, mohon coba lagi"". Coba cek di market place ga ke update saldonya.",1,1.3.9,top up emoney saldo sdh potong ga update saldo cek history transaksi hasil kartu ga tambah udah tap update saldo muncul tulis baca kartu gagal mohon coba coba cek market place ga update saldo,"[{'label': 'neutral', 'score': 0.8567618131637573}]",neutral,0.8567618131637573,Mixed Feedback and Technical Issues,0.7779309
774,mantap,5,1.3.9,mantap,"[{'label': 'positive', 'score': 0.9991832375526428}]",positive,0.9991832375526428,Opinion on Banking App,0.5999369
775,Error mulu,1,1.3.9,error mulu,"[{'label': 'negative', 'score': 0.9992809891700745}]",negative,0.9992809891700744,Mixed Feedback and Technical Issues,0.7317673
776,"Diupdate malah fitur pilihan top up e wallet nya berkurang, padahal kemarin ada dana, shopeepay, sekarang malah ilang lagi 👎🏻👎🏻👎🏻",2,1.3.9,diupdate fitur pilih top up wallet nya kurang kemarin dana shopeepay ilang,"[{'label': 'negative', 'score': 0.9062457084655762}]",negative,0.9062457084655762,Questions and Engagement,0.58006144
777,kebanyakan update,1,1.3.8,banyak update,"[{'label': 'negative', 'score': 0.9976152181625366}]",negative,0.9976152181625366,Opinion on Banking App,0.53144723
778,Yang eror tuh siapah ya tolong dong perbaiki lagi yang benar udah habis beraph duit isi ulang pulsa. ni mh login juga susahnya minta ampun,1,1.3.9,eror tuh siapah ya tolong baik udah habis beraph duit isi ulang pulsa ni mh login susah ampun,"[{'label': 'negative', 'score': 0.9984198808670044}]",negative,0.9984198808670044,Opinion on Banking App,0.6548087
779,"Cukup kecewa sama pelayanan lewat vc nya, sibuk boleh asal jangan buat pengguna gak nyaman sama pelayanannya",1,1.3.9,kecewa layan vc nya sibuk guna gak nyaman layan,"[{'label': 'negative', 'score': 0.9994379878044128}]",negative,0.9994379878044128,Questions and Engagement,0.58342636
780,"sebelum update menu shopee pay ada di top up e wallet, setelah update kok jadi ga ada, jd bingung mau ngisi syopi seharian ga bisa2",2,1.3.9,update menu shopee pay top up wallet update ga jd bingung ngisi syopi hari ga,"[{'label': 'negative', 'score': 0.8410277366638184}]",negative,0.8410277366638184,App Features,0.41662443
781,Habis diperbaharui malah ga bisa veripikasi selalu gagal & gagal sampai ga bisa digunakan Tolong diperbaiki pelayanannya,3,1.3.9,habis baharu ga veripikasi gagal gagal ga tolong baik layan,"[{'label': 'negative', 'score': 0.996702253818512}]",negative,0.996702253818512,User Experience,0.48753715
782,Mudah dan cepat,5,,mudah cepat,"[{'label': 'positive', 'score': 0.9986296892166138}]",positive,0.9986296892166138,User Experience,0.7296166
783,"Memudahkan proses transfer dan pembayaran dimana aja, the best 👍",5,1.3.9,mudah proses transfer bayar mana aja the best,"[{'label': 'positive', 'score': 0.9968605041503906}]",positive,0.9968605041503906,Opinion on Banking App,0.9081964
784,Parah nih makin k sini masa hp saya g pernah d root/jailbreak eh ga bisa d pake setelah ada update keterangan nya gitu hadooooh jelek parah merugikan sekali adakah solusi,1,,parah nih hp root jailbreak eh ga pake update terang nya gitu hadooooh jelek parah rugi ada solusi,"[{'label': 'negative', 'score': 0.9993725419044495}]",negative,0.9993725419044496,Mixed Feedback and Technical Issues,0.60268396
785,"Mau login aja gak bisa, padahal pulsa udah berkurang, harusnya dipermudah misal bisa pakai whatsapp, kami ini nasabah jangan dipersulit!!",1,1.3.9,login aja gak pulsa udah kurang mudah pakai whatsapp nasabah sulit,"[{'label': 'negative', 'score': 0.5213459730148315}]",negative,0.5213459730148315,Mixed Feedback and Technical Issues,0.504733
786,Dulu ada top up Shop**pay sekarang kog menghilang ya 😟,4,1.3.9,top up shop pay kog hilang ya,"[{'label': 'neutral', 'score': 0.9977638721466064}]",neutral,0.9977638721466064,Questions and Engagement,0.616415
787,Kenapa gak bisa dibuka yaa aplikasi nyaa,5,1.3.9,gak buka yaa aplikasi nyaa,"[{'label': 'negative', 'score': 0.9920118451118469}]",negative,0.9920118451118468,User Experience,0.8371628
788,"Aplikasi minta di upgrade setelah diupgrade malah gak bisa dibuka, sistem macam apa ini??????????",1,1.3.9,aplikasi upgrade diupgrade gak buka sistem,"[{'label': 'negative', 'score': 0.9955673813819885}]",negative,0.9955673813819884,Mixed Feedback and Technical Issues,0.863818
789,Hbis update malah tidak bisa dibuka.. Aplikasi tidak dapat digunakan pada perangkat yang sudah dijailbreak/ di root.... Mksudnya apa? Kaga paham,1,1.3.9,hbis update buka aplikasi perangkat dijailbreak root mksudnya kaga paham,"[{'label': 'negative', 'score': 0.9870893359184265}]",negative,0.9870893359184264,Questions and Engagement,0.48093593
790,"Baru update knpa susah d buka woii . update seminggu 1x juga gaada peningkatan, niat ga sih",1,1.3.9,update knpa susah buka woii update minggu gaada tingkat niat ga sih,"[{'label': 'negative', 'score': 0.9990149736404419}]",negative,0.999014973640442,Mixed Feedback and Technical Issues,0.4891388
791,Ok,5,1.3.8,ok,"[{'label': 'negative', 'score': 0.998392641544342}]",negative,0.998392641544342,App Features,0.5999488
792,Sangat membantu,5,1.3.9,bantu,"[{'label': 'positive', 'score': 0.9959172606468201}]",positive,0.99591726064682,User Experience,0.59963423
793,Dsnamon terdrpan,5,1.3.8,dsnamon terdrpan,"[{'label': 'neutral', 'score': 0.9874060750007629}]",neutral,0.9874060750007628,User Experience,0.2
794,Update langsung jonk,1,1.3.9,update langsung jonk,"[{'label': 'neutral', 'score': 0.9975321292877197}]",neutral,0.9975321292877196,Mixed Feedback and Technical Issues,0.7247596
795,Cepet banget update aplikasi.. Masih blm 1 bln sdh minta upgrade aplikasinya,3,1.3.8,cepet banget update aplikasi blm bln sdh upgrade aplikasi,"[{'label': 'neutral', 'score': 0.983043372631073}]",neutral,0.983043372631073,Questions and Engagement,0.89696616
796,"Sangat merepotkan kalo harus update berulang²...lagi buru² butuh cepat diminta update,sedangkan prosesnya malah lama....mungkin bisa dibuat sistem yg simple saja",1,,repot kalo update ulang buru butuh cepat update proses sistem yg simple,"[{'label': 'negative', 'score': 0.9967737793922424}]",negative,0.9967737793922424,Mixed Feedback and Technical Issues,0.93680525
797,Knpa klw d updte sush sekali. Blm ad 3 bulan dh mnta updte lagi..😟 perbaiki dong. Jngn cma updte2 trus,1,1.3.8,knpa klw updte sush blm ad dh mnta updte baik jngn cma updte trus,"[{'label': 'negative', 'score': 0.9390332102775574}]",negative,0.9390332102775574,App Features,0.7315977
798,"Setelah di perbarui kik nggak bisa login,,,",4,1.3.9,baru kik nggak login,"[{'label': 'neutral', 'score': 0.996920108795166}]",neutral,0.996920108795166,Mixed Feedback and Technical Issues,0.7946782
799,"di perbaharui malah eror, kacau ini mah,",1,1.3.9,baharu eror kacau mah,"[{'label': 'negative', 'score': 0.9994385838508606}]",negative,0.9994385838508606,User Experience,0.59228736
800,"jelek,,dalam sebulan sampe 2x update,,",1,1.3.8,jelek bulan sampe update,"[{'label': 'negative', 'score': 0.9993571639060974}]",negative,0.9993571639060974,Mixed Feedback and Technical Issues,0.37847412
801,Koq tiap bulan mesti di update ?????,1,1.3.9,koq mesti update,"[{'label': 'neutral', 'score': 0.998187243938446}]",neutral,0.998187243938446,App Features,0.5419711
802,"Setelah update jadi ga bisa login, perangkat terdeteksi telah di root. Padahal ngga pernah di root.. tolong dong",3,,update ga login perangkat deteksi root ngga root tolong,"[{'label': 'neutral', 'score': 0.9680018424987793}]",neutral,0.9680018424987792,Mixed Feedback and Technical Issues,0.6145228
803,Ok,5,1.3.8,ok,"[{'label': 'negative', 'score': 0.998392641544342}]",negative,0.998392641544342,App Features,0.5999489
804,Mantap D bank pro dalam menyajikan layanan bengking nya,5,1.3.9,mantap bank pro saji layan bengking nya,"[{'label': 'positive', 'score': 0.944982647895813}]",positive,0.944982647895813,Opinion on Banking App,0.7067568
805,Ini gimana sih apk nya masak harus update terus setelah di update malah ga bisa di buka tolong dong kenyamanan nya,2,1.3.9,gimana sih apk nya masak update update ga buka tolong nyaman nya,"[{'label': 'negative', 'score': 0.9986162185668945}]",negative,0.9986162185668944,Questions and Engagement,0.93718696
806,Diperbaharui mlh kaga bs dipkai,1,,baharu mlh kaga bs dipkai,"[{'label': 'negative', 'score': 0.437860369682312}]",negative,0.437860369682312,Questions and Engagement,0.83817637
807,Kurangi,3,,kurang,"[{'label': 'negative', 'score': 0.9512360095977783}]",negative,0.9512360095977784,Mixed Feedback and Technical Issues,0.5993871
808,kenapa sudah di update tidak bisa digunakan lagi?,5,1.3.9,update,"[{'label': 'negative', 'score': 0.9918968081474304}]",negative,0.9918968081474304,Mixed Feedback and Technical Issues,0.59680337
809,GX bisa di buka setelah di update.,1,1.3.9,gx buka update,"[{'label': 'neutral', 'score': 0.9989842772483826}]",neutral,0.9989842772483826,App Features,0.49037555
810,Biasa aja.,1,1.3.9,aja,"[{'label': 'negative', 'score': 0.9959724545478821}]",negative,0.995972454547882,User Experience,0.5841491
811,Good,5,1.3.8,good,"[{'label': 'positive', 'score': 0.9990602135658264}]",positive,0.9990602135658264,Opinion on Banking App,0.59993535
812,Apa apa an ini. Masa abis update ga bs login. Ga bs di gunakan di hp yg sudah di root/ jailbreak.,1,1.3.9,an abis update ga bs login ga bs hp yg root jailbreak,"[{'label': 'neutral', 'score': 0.7129390239715576}]",neutral,0.7129390239715576,Opinion on Banking App,0.35981297
813,Tambah ribet terlalu sering update,2,1.3.8,ribet update,"[{'label': 'negative', 'score': 0.998052716255188}]",negative,0.998052716255188,Mixed Feedback and Technical Issues,0.7284823
814,Apa mksdnya ini..minta di up.gt di up gak bs di buka keterangannya gak jelas. Aplikasi D-BANK PRO tidak dapat di gunakan pada perangkat yg sudah di jailbreak/di root. Jelaskan dl mksdnya apa.,1,1.3.9,mksdnya up gt up gak bs buka terang gak aplikasi bank pro perangkat yg jailbreak root dl mksdnya,"[{'label': 'negative', 'score': 0.9645808935165405}]",negative,0.9645808935165404,Mixed Feedback and Technical Issues,0.57592535
815,"Tolong dong min, ini kenapa habis di update gabisa dibuka ya, gimana sih, kzl deh, pindah bank lain aja lah kalo kek gini terus",1,1.3.9,tolong min habis update gabisa buka ya gimana sih kzl deh pindah bank aja kalo kek gin,"[{'label': 'negative', 'score': 0.9989944100379944}]",negative,0.9989944100379944,Mixed Feedback and Technical Issues,0.44286522
